NAME,GEOID,tract,total,pct_below_poverty,pct_below_poverty_moe
Census Tract 3190.02; Contra Costa County; California,06013319002,319002,1102.0,0.0,0.011796733212341199
Census Tract 3200.01; Contra Costa County; California,06013320001,320001,889.0,0.04049493813273341,0.049987059273519825
Census Tract 3200.03; Contra Costa County; California,06013320003,320003,463.0,0.0,0.028077753779697623
Census Tract 3200.04; Contra Costa County; California,06013320004,320004,1210.0,0.07190082644628099,0.07295531297019497
Census Tract 3211.01; Contra Costa County; California,06013321101,321101,1548.0,0.004521963824289405,0.007635612810427286
Census Tract 3211.02; Contra Costa County; California,06013321102,321102,827.0,0.12212817412333736,0.12962264966677878
Census Tract 3211.03; Contra Costa County; California,06013321103,321103,482.0,0.043568464730290454,0.04636084429514424
Census Tract 3212; Contra Costa County; California,06013321200,321200,703.0,0.0,0.02702702702702703
Census Tract 3220; Contra Costa County; California,06013322000,322000,1040.0,0.051923076923076926,0.06477982332303932
Census Tract 3230; Contra Costa County; California,06013323000,323000,811.0,0.18372379778051787,0.2965102421592389
Census Tract 3240.02; Contra Costa County; California,06013324002,324002,509.0,0.2082514734774067,0.1253532962884466
Census Tract 3240.03; Contra Costa County; California,06013324003,324003,334.0,0.0,0.038922155688622756
Census Tract 3240.04; Contra Costa County; California,06013324004,324004,305.0,0.04262295081967213,0.059514751137698226
Census Tract 3250; Contra Costa County; California,06013325000,325000,1062.0,0.2071563088512241,0.24554847167191005
Census Tract 3260; Contra Costa County; California,06013326000,326000,235.0,0.09361702127659574,0.08095218494699967
Census Tract 3270.01; Contra Costa County; California,06013327001,327001,1407.0,0.004975124378109453,0.007772242502961601
Census Tract 3270.02; Contra Costa County; California,06013327002,327002,1180.0,0.04067796610169491,0.04728790479284947
Census Tract 3280; Contra Costa County; California,06013328000,328000,563.0,0.16163410301953818,0.1634680311768579
Census Tract 3290; Contra Costa County; California,06013329000,329000,2361.0,0.07030919102075392,0.0639777982273802
Census Tract 3300; Contra Costa County; California,06013330000,330000,1774.0,0.10992108229988726,0.13050693113532075
Census Tract 3310; Contra Costa County; California,06013331000,331000,1968.0,0.12804878048780488,0.10930866834028481
Census Tract 3320; Contra Costa County; California,06013332000,332000,2396.0,0.09682804674457429,0.08395896047408513
Census Tract 3331.01; Contra Costa County; California,06013333101,333101,810.0,0.0962962962962963,0.11169125098840835
Census Tract 3331.02; Contra Costa County; California,06013333102,333102,493.0,0.016227180527383367,0.023827931554768186
Census Tract 3332; Contra Costa County; California,06013333200,333200,945.0,0.0,0.020105820105820106
Census Tract 3340.01; Contra Costa County; California,06013334001,334001,679.0,0.2650957290132548,0.2697357727486709
