NAME,GEOID,tract,pct_below_poverty,pct_below_poverty_moe
Census Tract 3310; Contra Costa County; California,06013331000,331000,,0.1305058967827841
Census Tract 3320; Contra Costa County; California,06013332000,332000,,0.13194444444444445
Census Tract 3331.01; Contra Costa County; California,06013333101,333101,,0.16455696202531644
Census Tract 3331.02; Contra Costa County; California,06013333102,333102,,0.11516068548386409
Census Tract 3332; Contra Costa County; California,06013333200,333200,,0.12337662337662338
Census Tract 3340.01; Contra Costa County; California,06013334001,334001,,
Census Tract 3340.06; Contra Costa County; California,06013334006,334006,,0.14119698293250435
Census Tract 3340.07; Contra Costa County; California,06013334007,334007,0.271523178807947,
Census Tract 3340.08; Contra Costa County; California,06013334008,334008,,0.01849217638691323
Census Tract 3342; Contra Costa County; California,06013334200,334200,,0.41511795573249444
Census Tract 3350; Contra Costa County; California,06013335000,335000,,0.37142857142857144
Census Tract 3361.01; Contra Costa County; California,06013336101,336101,,0.007584405188270556
Census Tract 3361.03; Contra Costa County; California,06013336103,336103,,0.1495202804036928
Census Tract 3361.04; Contra Costa County; California,06013336104,336104,,0.18824539293780174
Census Tract 3362.01; Contra Costa County; California,06013336201,336201,,0.10743801652892562
Census Tract 3362.02; Contra Costa County; California,06013336202,336202,,0.2646071611980237
Census Tract 3371; Contra Costa County; California,06013337100,337100,,0.08783783783783784
Census Tract 3372.01; Contra Costa County; California,06013337201,337201,,
Census Tract 3372.02; Contra Costa County; California,06013337202,337202,,0.4843984818465242
Census Tract 3373; Contra Costa County; California,06013337300,337300,,0.0902480957852682
Census Tract 3381.01; Contra Costa County; California,06013338101,338101,,0.09277653123789223
Census Tract 3381.02; Contra Costa County; California,06013338102,338102,,0.20634920634920634
Census Tract 3382.01; Contra Costa County; California,06013338201,338201,,0.06046511627906977
Census Tract 3382.03; Contra Costa County; California,06013338203,338203,,0.07569721115537849
Census Tract 3382.04; Contra Costa County; California,06013338204,338204,,0.14325896210151542
Census Tract 3383.01; Contra Costa County; California,06013338301,338301,,
Census Tract 3383.02; Contra Costa County; California,06013338302,338302,,0.2835820895522388
Census Tract 3390.01; Contra Costa County; California,06013339001,339001,,0.05508474576271186
Census Tract 3390.03; Contra Costa County; California,06013339003,339003,,0.24528301886792453
Census Tract 3390.04; Contra Costa County; California,06013339004,339004,,0.14285714285714285
Census Tract 3400.01; Contra Costa County; California,06013340001,340001,,0.18144566569736514
Census Tract 3400.03; Contra Costa County; California,06013340003,340003,,0.4482758620689655
Census Tract 3400.04; Contra Costa County; California,06013340004,340004,,
Census Tract 3410; Contra Costa County; California,06013341000,341000,,0.43920252693731393
Census Tract 3430.01; Contra Costa County; California,06013343001,343001,,0.5588235294117647
Census Tract 3430.02; Contra Costa County; California,06013343002,343002,,0.18055555555555555
Census Tract 3430.03; Contra Costa County; California,06013343003,343003,,0.23268248861594798
