NAME,GEOID,GEO_ID,tract,total,pct_nh_black,pct_nh_black_moe,pct_nh_black_moe_ratio
Census Tract 3131.02; Contra Costa County; California,06013313102,1400000US06013313102,313102,4796.0,0.25875729774812345,0.09354775419016224,0.36152701780501056
Census Tract 3131.04; Contra Costa County; California,06013313104,1400000US06013313104,313104,2909.0,,0.05626250873059727,0.5279601222493789
Census Tract 3131.05; Contra Costa County; California,06013313105,1400000US06013313105,313105,6007.0,,0.12243881474804408,0.4357168010613156
Census Tract 3131.06; Contra Costa County; California,06013313106,1400000US06013313106,313106,7094.0,,0.040432863567354836,0.5547983252356193
Census Tract 3131.07; Contra Costa County; California,06013313107,1400000US06013313107,313107,2718.0,0.19352465047829287,0.07697230613762183,0.3977390267719699
Census Tract 3132.03; Contra Costa County; California,06013313203,1400000US06013313203,313203,3382.0,,0.083087340309461,0.9273973099887692
Census Tract 3132.04; Contra Costa County; California,06013313204,1400000US06013313204,313204,5864.0,0.11596180081855388,0.03968442705533264,0.3422198239006921
Census Tract 3132.05; Contra Costa County; California,06013313205,1400000US06013313205,313205,1978.0,,0.018407370008564336,1.2136592625646754
Census Tract 3132.06; Contra Costa County; California,06013313206,1400000US06013313206,313206,6290.0,0.1,0.03949816764013746,0.39498167640137455
Census Tract 3141.02; Contra Costa County; California,06013314102,1400000US06013314102,314102,6912.0,,0.037002338952008426,0.42769258668274623
Census Tract 3141.03; Contra Costa County; California,06013314103,1400000US06013314103,314103,5554.0,0.1386388188692834,0.040700921488069676,0.29357521811005066
Census Tract 3141.05; Contra Costa County; California,06013314105,1400000US06013314105,314105,3958.0,,0.12371578441063089,0.6174868533383064
Census Tract 3141.06; Contra Costa County; California,06013314106,1400000US06013314106,314106,4176.0,,0.03428368997107962,0.5342115273105541
Census Tract 3142; Contra Costa County; California,06013314200,1400000US06013314200,314200,7185.0,,0.009791364181343777,0.9506885357156086
Census Tract 3150; Contra Costa County; California,06013315000,1400000US06013315000,315000,3772.0,,0.08482594198880224,0.5723854260854419
Census Tract 3160; Contra Costa County; California,06013316000,1400000US06013316000,316000,1112.0,0.18884892086330934,0.07528107862153381,0.39863123536736
Census Tract 3170; Contra Costa County; California,06013317000,1400000US06013317000,317000,1934.0,,0.02306306046480538,1.087901437534966
