NAME,GEOID,GEO_ID,tract,total,pct_hispanic,pct_hispanic_moe,pct_hispanic_moe_ratio
Census Tract 3100; Contra Costa County; California,06013310000,1400000US06013310000,310000,6257.0,0.5862234297586703,0.054242506855859525,0.09252872557173203
Census Tract 3110; Contra Costa County; California,06013311000,1400000US06013311000,311000,5392.0,0.6808234421364985,0.12090948188803159,0.17759300635801317
Census Tract 3120; Contra Costa County; California,06013312000,1400000US06013312000,312000,2818.0,0.4488999290276792,0.07494611118201483,0.16695505241969785
Census Tract 3131.02; Contra Costa County; California,06013313102,1400000US06013313102,313102,4796.0,0.3876146788990826,0.07863879156348175,0.20287877586791742
Census Tract 3131.04; Contra Costa County; California,06013313104,1400000US06013313104,313104,2909.0,0.39944998281196287,,
Census Tract 3131.05; Contra Costa County; California,06013313105,1400000US06013313105,313105,6007.0,,0.16146681945947303,0.4740621625088243
Census Tract 3131.06; Contra Costa County; California,06013313106,1400000US06013313106,313106,7094.0,0.3869467155342543,0.11576511106499171,0.2991758462277053
Census Tract 3131.07; Contra Costa County; California,06013313107,1400000US06013313107,313107,2718.0,0.36902133922001473,0.04622222302250993,0.12525623347475773
Census Tract 3132.03; Contra Costa County; California,06013313203,1400000US06013313203,313203,3382.0,0.4077468953282082,0.10710333976854852,0.2626711349508565
Census Tract 3132.04; Contra Costa County; California,06013313204,1400000US06013313204,313204,5864.0,0.47203274215552526,0.09438203901498579,0.19994807687278782
Census Tract 3132.05; Contra Costa County; California,06013313205,1400000US06013313205,313205,1978.0,0.5889787664307381,0.14757196358286903,0.25055566005743773
Census Tract 3132.06; Contra Costa County; California,06013313206,1400000US06013313206,313206,6290.0,0.5947535771065183,0.11023281977790515,0.18534200385004634
Census Tract 3141.02; Contra Costa County; California,06013314102,1400000US06013314102,314102,6912.0,0.5831886574074074,0.08492116848680593,0.14561526087343155
Census Tract 3141.03; Contra Costa County; California,06013314103,1400000US06013314103,314103,5554.0,0.610010803024847,0.07336804163433767,0.12027334806290184
Census Tract 3141.05; Contra Costa County; California,06013314105,1400000US06013314105,314105,3958.0,0.5432036382011117,0.16666191427501661,0.306812956604891
Census Tract 3141.06; Contra Costa County; California,06013314106,1400000US06013314106,314106,4176.0,0.7320402298850575,0.2815344981307451,0.3845888335603505
Census Tract 3142; Contra Costa County; California,06013314200,1400000US06013314200,314200,7185.0,0.7824634655532359,0.08325521856339133,0.10640141326538007
Census Tract 3150; Contra Costa County; California,06013315000,1400000US06013315000,315000,3772.0,0.3947507953340403,0.13678207445921303,0.3465023404030568
Census Tract 3160; Contra Costa County; California,06013316000,1400000US06013316000,316000,1112.0,,0.06970581849255299,0.45595805978658194
Census Tract 3170; Contra Costa County; California,06013317000,1400000US06013317000,317000,1934.0,,0.056856802222637226,0.5312128284955574
Census Tract 3180; Contra Costa County; California,06013318000,1400000US06013318000,318000,3512.0,0.1417995444191344,0.03471051136824477,0.24478577495035267
Census Tract 3190.01; Contra Costa County; California,06013319001,1400000US06013319001,319001,4236.0,0.2830500472143532,0.10531747811914094,0.37208076506478815
Census Tract 3190.02; Contra Costa County; California,06013319002,1400000US06013319002,319002,3943.0,0.27948262744103475,0.11013154460683237,0.39405506387000006
