NAME,GEOID,GEO_ID,tract,total,pct_nh_white,pct_nh_white_moe,pct_nh_white_moe_ratio
Census Tract 3090; Contra Costa County; California,06013309000,1400000US06013309000,309000,3600.0,0.2833333333333333,0.08677903039179881,0.306278930794584
Census Tract 3100; Contra Costa County; California,06013310000,1400000US06013310000,310000,6257.0,,0.07792351964942755,0.45270887878037896
Census Tract 3110; Contra Costa County; California,06013311000,1400000US06013311000,311000,5392.0,0.11090504451038576,0.03865825358365634,0.34857074134293475
Census Tract 3120; Contra Costa County; California,06013312000,1400000US06013312000,312000,2818.0,,0.02804181945559628,0.41372694882654615
Census Tract 3131.02; Contra Costa County; California,06013313102,1400000US06013313102,313102,4796.0,0.1559633027522936,0.029064426752807633,0.18635426565035482
Census Tract 3131.04; Contra Costa County; California,06013313104,1400000US06013313104,313104,2909.0,,0.09363685106460257,0.4164978589402582
Census Tract 3131.05; Contra Costa County; California,06013313105,1400000US06013313105,313105,6007.0,0.277842517063426,0.09761870332213467,0.3513454468879946
Census Tract 3131.06; Contra Costa County; California,06013313106,1400000US06013313106,313106,7094.0,,0.1659064751524702,0.4556486777900208
Census Tract 3131.07; Contra Costa County; California,06013313107,1400000US06013313107,313107,2718.0,0.26637233259749815,0.08461392279630288,0.31765282066346856
Census Tract 3132.03; Contra Costa County; California,06013313203,1400000US06013313203,313203,3382.0,0.23211117681845062,0.03919354366106146,0.1688567702696941
Census Tract 3132.04; Contra Costa County; California,06013313204,1400000US06013313204,313204,5864.0,0.21691678035470668,0.045597359904143424,0.21020669691658572
Census Tract 3132.05; Contra Costa County; California,06013313205,1400000US06013313205,313205,1978.0,0.14459049544994945,0.03805553416650404,0.2631952677669405
Census Tract 3132.06; Contra Costa County; California,06013313206,1400000US06013313206,313206,6290.0,0.13608903020667726,0.03710845741707116,0.2726778004128243
Census Tract 3141.02; Contra Costa County; California,06013314102,1400000US06013314102,314102,6912.0,0.15813078703703703,0.03919513649622751,0.24786530966324294
Census Tract 3141.03; Contra Costa County; California,06013314103,1400000US06013314103,314103,5554.0,0.11649261793302125,0.03206919836623849,0.2752895328069375
Census Tract 3141.05; Contra Costa County; California,06013314105,1400000US06013314105,314105,3958.0,,0.04785904213916562,0.41179584518873374
Census Tract 3141.06; Contra Costa County; California,06013314106,1400000US06013314106,314106,4176.0,0.0842911877394636,0.021903443185628608,0.25985448506586667
Census Tract 3142; Contra Costa County; California,06013314200,1400000US06013314200,314200,7185.0,0.12122477383437717,0.029803097913075453,0.24584989495458912
Census Tract 3150; Contra Costa County; California,06013315000,1400000US06013315000,315000,3772.0,0.2913573700954401,0.07150874750960087,0.24543311702112328
Census Tract 3160; Contra Costa County; California,06013316000,1400000US06013316000,316000,1112.0,0.4739208633093525,0.10031149261659889,0.21166295975267166
Census Tract 3170; Contra Costa County; California,06013317000,1400000US06013317000,317000,1934.0,0.7404343329886246,0.08486009360682567,0.11460853424273802
Census Tract 3180; Contra Costa County; California,06013318000,1400000US06013318000,318000,3512.0,0.724373576309795,0.09287011278571362,0.12820748274505747
Census Tract 3190.01; Contra Costa County; California,06013319001,1400000US06013319001,319001,4236.0,0.4825306893295562,0.07934234598292453,0.1644296367826166
Census Tract 3190.02; Contra Costa County; California,06013319002,1400000US06013319002,319002,3943.0,0.5942176008115648,,
Census Tract 3200.01; Contra Costa County; California,06013320001,1400000US06013320001,320001,3100.0,0.5758064516129032,0.12654272176954087,0.21976607142049115
Census Tract 3200.03; Contra Costa County; California,06013320003,1400000US06013320003,320003,3068.0,0.635593220338983,0.08502614691600492,0.13377447114784774
Census Tract 3200.04; Contra Costa County; California,06013320004,1400000US06013320004,320004,6599.0,0.592817093499015,0.038190887790354004,0.06442271690402507
Census Tract 3211.01; Contra Costa County; California,06013321101,1400000US06013321101,321101,6866.0,0.5198077483250801,0.10637192345346007,0.2046370485938517
Census Tract 3211.02; Contra Costa County; California,06013321102,1400000US06013321102,321102,6133.0,0.6636230229903799,0.06930712212098339,0.10443748893562435
Census Tract 3211.03; Contra Costa County; California,06013321103,1400000US06013321103,321103,4546.0,0.6964364276286845,0.052811477962832386,0.07583101036608846
Census Tract 3212; Contra Costa County; California,06013321200,1400000US06013321200,321200,5616.0,0.39975071225071224,0.055164184989193184,0.137996464543122
Census Tract 3220; Contra Costa County; California,06013322000,1400000US06013322000,322000,6755.0,0.5404885270170244,0.08262563195643975,0.1528721292428788
Census Tract 3230; Contra Costa County; California,06013323000,1400000US06013323000,323000,4669.0,0.6384664810451917,,
Census Tract 3240.02; Contra Costa County; California,06013324002,1400000US06013324002,324002,4740.0,0.5316455696202531,0.09250345993486113,0.17399460321081023
Census Tract 3240.03; Contra Costa County; California,06013324003,1400000US06013324003,324003,3449.0,0.5384169324441868,0.11007172709197566,0.204435857156825
Census Tract 3240.04; Contra Costa County; California,06013324004,1400000US06013324004,324004,2413.0,0.6087857438872772,0.11770910449303708,0.19335062569210243
Census Tract 3250; Contra Costa County; California,06013325000,1400000US06013325000,325000,6161.0,0.5390358708001948,0.06779513195444258,0.12577109544454101
Census Tract 3260; Contra Costa County; California,06013326000,1400000US06013326000,326000,3639.0,0.67985710359989,0.09051326367642952,0.13313571807539493
Census Tract 3270.01; Contra Costa County; California,06013327001,1400000US06013327001,327001,3479.0,0.43202069560218453,0.10456111252730145,0.24202801761974835
Census Tract 3270.02; Contra Costa County; California,06013327002,1400000US06013327002,327002,3833.0,0.42055830941821026,0.10768647671663274,0.25605599581566585
Census Tract 3280; Contra Costa County; California,06013328000,1400000US06013328000,328000,2326.0,0.47334479793637146,0.09353724800406363,0.19760911794500635
Census Tract 3290; Contra Costa County; California,06013329000,1400000US06013329000,329000,6488.0,0.37330456226880393,,
Census Tract 3300; Contra Costa County; California,06013330000,1400000US06013330000,330000,5587.0,0.4728834795059961,0.04706147552049412,0.09952023608364899
Census Tract 3310; Contra Costa County; California,06013331000,1400000US06013331000,331000,7789.0,0.43189112851457184,0.060130701628603817,0.13922652645219832
Census Tract 3320; Contra Costa County; California,06013332000,1400000US06013332000,332000,8109.0,0.42200024663953634,0.04573829358138274,0.10838451860065243
Census Tract 3331.01; Contra Costa County; California,06013333101,1400000US06013333101,333101,3951.0,0.5856745127815742,0.12450556087560906,0.21258490536712682
Census Tract 3331.02; Contra Costa County; California,06013333102,1400000US06013333102,333102,4251.0,0.6226770171724301,0.1179236890152905,0.1893817914635436
Census Tract 3332; Contra Costa County; California,06013333200,1400000US06013333200,333200,5866.0,0.5606887146266621,,
Census Tract 3340.01; Contra Costa County; California,06013334001,1400000US06013334001,334001,3960.0,0.47449494949494947,0.10627440989181605,0.2239737430396975
Census Tract 3340.06; Contra Costa County; California,06013334006,1400000US06013334006,334006,4731.0,0.5389980976537729,0.05260948328800158,0.09760606487668058
Census Tract 3340.07; Contra Costa County; California,06013334007,1400000US06013334007,334007,3435.0,0.4477438136826783,0.0850189079298905,0.189882931559931
Census Tract 3340.08; Contra Costa County; California,06013334008,1400000US06013334008,334008,3793.0,0.45715792248879517,0.02832133232545388,0.06195087284339479
Census Tract 3342; Contra Costa County; California,06013334200,1400000US06013334200,334200,7547.0,0.6680800318007155,0.05464041519931907,0.08178722997010335
Census Tract 3350; Contra Costa County; California,06013335000,1400000US06013335000,335000,3612.0,0.4797895902547065,,
Census Tract 3361.01; Contra Costa County; California,06013336101,1400000US06013336101,336101,4438.0,0.18048670572329878,0.04620137610508052,0.25598215624762466
Census Tract 3361.03; Contra Costa County; California,06013336103,1400000US06013336103,336103,4862.0,0.11127108185931715,0.03195378649835909,0.2871706283826652
Census Tract 3361.04; Contra Costa County; California,06013336104,1400000US06013336104,336104,2539.0,0.27845608507286335,0.09866963380414535,0.35434540343525467
Census Tract 3362.01; Contra Costa County; California,06013336201,1400000US06013336201,336201,3376.0,0.39454976303317535,0.11669676826164051,0.2957719892277015
Census Tract 3362.02; Contra Costa County; California,06013336202,1400000US06013336202,336202,6012.0,,0.10859300536799806,0.5603958354269565
Census Tract 3371; Contra Costa County; California,06013337100,1400000US06013337100,337100,3160.0,0.36645569620253166,0.0460835124949576,0.1257546627668964
Census Tract 3372.01; Contra Costa County; California,06013337201,1400000US06013337201,337201,3139.0,0.4848677922905384,0.1655534812568915,0.3414404583872421
Census Tract 3372.02; Contra Costa County; California,06013337202,1400000US06013337202,337202,5515.0,0.5278331822302811,0.102230312442507,0.19367920753020476
Census Tract 3373; Contra Costa County; California,06013337300,1400000US06013337300,337300,5994.0,0.6459793126459793,0.07067389643658374,0.10940582005188093
Census Tract 3381.01; Contra Costa County; California,06013338101,1400000US06013338101,338101,5543.0,0.36424318960851526,0.09573803007777194,0.2628409612288707
Census Tract 3381.02; Contra Costa County; California,06013338102,1400000US06013338102,338102,3231.0,0.5998142989786444,,
Census Tract 3382.01; Contra Costa County; California,06013338201,1400000US06013338201,338201,4019.0,0.6725553620303558,0.08869617905534495,0.13187937240970454
Census Tract 3382.03; Contra Costa County; California,06013338203,1400000US06013338203,338203,5431.0,0.4211010863561038,0.08022951450695646,0.1905231715292001
Census Tract 3382.04; Contra Costa County; California,06013338204,1400000US06013338204,338204,6600.0,0.5604545454545454,0.07092373378342186,0.12654680804827906
Census Tract 3383.01; Contra Costa County; California,06013338301,1400000US06013338301,338301,2910.0,0.6865979381443299,0.10239035039257954,0.14912708690811136
Census Tract 3383.02; Contra Costa County; California,06013338302,1400000US06013338302,338302,5513.0,0.5824415019045891,,
Census Tract 3390.01; Contra Costa County; California,06013339001,1400000US06013339001,339001,3659.0,0.5509702104400109,0.10553882273531962,0.19155086924034448
Census Tract 3390.03; Contra Costa County; California,06013339003,1400000US06013339003,339003,4153.0,0.6491692752227306,0.07925995843451981,0.1220944389386353
Census Tract 3390.04; Contra Costa County; California,06013339004,1400000US06013339004,339004,3319.0,0.5558903284121723,0.07460442580405126,0.13420709444100062
Census Tract 3400.01; Contra Costa County; California,06013340001,1400000US06013340001,340001,6118.0,0.5601503759398496,0.06687518256070414,0.11938790980635773
Census Tract 3400.03; Contra Costa County; California,06013340003,1400000US06013340003,340003,3718.0,0.5890263582571275,0.08655828638572075,0.1469514651973104
Census Tract 3400.04; Contra Costa County; California,06013340004,1400000US06013340004,340004,3940.0,0.6697969543147209,0.07417296630328662,0.11073947981619904
Census Tract 3410; Contra Costa County; California,06013341000,1400000US06013341000,341000,4760.0,0.6317226890756302,0.10311637721621594,0.16323044747229395
Census Tract 3430.01; Contra Costa County; California,06013343001,1400000US06013343001,343001,5940.0,0.7303030303030303,,
Census Tract 3430.02; Contra Costa County; California,06013343002,1400000US06013343002,343002,4658.0,0.6363246028338343,0.0900176552534474,0.14146499263514103
Census Tract 3430.03; Contra Costa County; California,06013343003,1400000US06013343003,343003,3847.0,0.7923056927475955,0.02366517072896995,0.02986873746533707
Census Tract 3451.01; Contra Costa County; California,06013345101,1400000US06013345101,345101,6622.0,0.35578375113258837,0.04834907113749863,0.1358945454467385
Census Tract 3451.02; Contra Costa County; California,06013345102,1400000US06013345102,345102,4533.0,0.5384954776086477,0.04401664852840171,0.08174005234708928
Census Tract 3451.03; Contra Costa County; California,06013345103,1400000US06013345103,345103,5286.0,0.5332954975406735,0.08407764060812796,0.1576567606436908
Census Tract 3451.05; Contra Costa County; California,06013345105,1400000US06013345105,345105,6233.0,0.6215305631317183,0.08359289686175558,0.13449523132145652
Census Tract 3451.11; Contra Costa County; California,06013345111,1400000US06013345111,345111,5850.0,0.28974358974358977,0.05051938356672938,0.17435893443384476
Census Tract 3451.12; Contra Costa County; California,06013345112,1400000US06013345112,345112,7723.0,0.36151754499546807,0.09062159143188123,0.2506699679901213
Census Tract 3451.13; Contra Costa County; California,06013345113,1400000US06013345113,345113,4767.0,0.4923431927837214,0.03399565552381707,0.06904869615766339
Census Tract 3451.14; Contra Costa County; California,06013345114,1400000US06013345114,345114,6571.0,0.7779637802465378,0.07454510593985399,0.09582079247472233
Census Tract 3451.15; Contra Costa County; California,06013345115,1400000US06013345115,345115,6758.0,0.5210121337673868,0.032483129758029826,0.062346205880365116
Census Tract 3451.16; Contra Costa County; California,06013345116,1400000US06013345116,345116,2961.0,0.5086119554204661,0.0600102133611188,0.11798820834148258
Census Tract 3451.17; Contra Costa County; California,06013345117,1400000US06013345117,345117,4652.0,0.48796216680997423,0.16598749458815634,0.34016468053925253
Census Tract 3451.18; Contra Costa County; California,06013345118,1400000US06013345118,345118,3525.0,0.44,0.060794548372492256,0.13816942811930058
Census Tract 3452.03; Contra Costa County; California,06013345203,1400000US06013345203,345203,6954.0,0.8193845268909979,0.0484488680994869,0.05912836587641838
Census Tract 3452.04; Contra Costa County; California,06013345204,1400000US06013345204,345204,3152.0,0.8169416243654822,0.06992326998014044,0.08559151338928259
Census Tract 3452.05; Contra Costa County; California,06013345205,1400000US06013345205,345205,5779.0,0.4590759646997751,0.07471330150428795,0.16274714262845083
Census Tract 3452.06; Contra Costa County; California,06013345206,1400000US06013345206,345206,3622.0,0.6482606294864716,0.08051415723988738,0.12420028855318231
Census Tract 3461.01; Contra Costa County; California,06013346101,1400000US06013346101,346101,3364.0,0.7143281807372176,0.05947003688669318,0.08325310199202492
Census Tract 3461.02; Contra Costa County; California,06013346102,1400000US06013346102,346102,5396.0,0.7329503335804299,0.097568964985761,0.13311811253177405
Census Tract 3462.03; Contra Costa County; California,06013346203,1400000US06013346203,346203,4033.0,0.7862633275477312,0.034950605291947316,0.04445152669265958
Census Tract 3462.04; Contra Costa County; California,06013346204,1400000US06013346204,346204,7894.0,0.7078794020775272,0.05435820573253277,0.07679020688128377
Census Tract 3462.05; Contra Costa County; California,06013346205,1400000US06013346205,346205,4325.0,0.7935260115606937,0.09976196898376051,0.1257198472770292
Census Tract 3462.06; Contra Costa County; California,06013346206,1400000US06013346206,346206,3216.0,0.6654228855721394,0.03427313279234137,0.051505792084191517
Census Tract 3470; Contra Costa County; California,06013347000,1400000US06013347000,347000,6724.0,0.7538667459845331,0.08749086681552452,0.11605614292120474
Census Tract 3480; Contra Costa County; California,06013348000,1400000US06013348000,348000,4819.0,0.7982984021581241,0.03488974666789188,0.04370514405837561
Census Tract 3490; Contra Costa County; California,06013349000,1400000US06013349000,349000,5815.0,0.7473774720550301,0.0886687160882453,0.11863980304950446
Census Tract 3500; Contra Costa County; California,06013350000,1400000US06013350000,350000,6150.0,0.6531707317073171,0.09763632596144177,0.1494805587908556
Census Tract 3511.01; Contra Costa County; California,06013351101,1400000US06013351101,351101,2737.0,0.8881987577639752,0.0492664727785505,0.055467846974451965
Census Tract 3511.03; Contra Costa County; California,06013351103,1400000US06013351103,351103,1929.0,0.8009331259720062,0.03101928708158305,0.038728935132927966
Census Tract 3511.04; Contra Costa County; California,06013351104,1400000US06013351104,351104,1667.0,0.8578284343131374,0.026108327172051228,0.030435371605461118
Census Tract 3511.05; Contra Costa County; California,06013351105,1400000US06013351105,351105,1814.0,0.8484013230429989,0.10760843357130924,0.12683671117501946
