NAME,GEOID,GEO_ID,tract,pct_hispanic,pct_hispanic_moe
Census Tract 3132.05; Contra Costa County; California,06013313205,1400000US06013313205,313205,0.5889787664307381,0.14757196358286903
Census Tract 3132.06; Contra Costa County; California,06013313206,1400000US06013313206,313206,0.5947535771065183,0.11023281977790515
Census Tract 3141.02; Contra Costa County; California,06013314102,1400000US06013314102,314102,0.5831886574074074,0.08492116848680593
Census Tract 3141.03; Contra Costa County; California,06013314103,1400000US06013314103,314103,0.610010803024847,0.07336804163433767
Census Tract 3141.05; Contra Costa County; California,06013314105,1400000US06013314105,314105,0.5432036382011117,0.16666191427501661
Census Tract 3141.06; Contra Costa County; California,06013314106,1400000US06013314106,314106,0.7320402298850575,0.2815344981307451
Census Tract 3142; Contra Costa County; California,06013314200,1400000US06013314200,314200,0.7824634655532359,0.08325521856339133
Census Tract 3150; Contra Costa County; California,06013315000,1400000US06013315000,315000,0.3947507953340403,0.13678207445921303
Census Tract 3160; Contra Costa County; California,06013316000,1400000US06013316000,316000,0.1528776978417266,0.06970581849255299
Census Tract 3170; Contra Costa County; California,06013317000,1400000US06013317000,317000,0.10703205791106515,0.056856802222637226
Census Tract 3180; Contra Costa County; California,06013318000,1400000US06013318000,318000,0.1417995444191344,0.03471051136824477
Census Tract 3190.01; Contra Costa County; California,06013319001,1400000US06013319001,319001,0.2830500472143532,0.10531747811914094
Census Tract 3190.02; Contra Costa County; California,06013319002,1400000US06013319002,319002,0.27948262744103475,0.11013154460683237
Census Tract 3200.01; Contra Costa County; California,06013320001,1400000US06013320001,320001,0.2867741935483871,0.025578407034621314
Census Tract 3200.03; Contra Costa County; California,06013320003,1400000US06013320003,320003,0.15091264667535853,0.08660392576076727
Census Tract 3200.04; Contra Costa County; California,06013320004,1400000US06013320004,320004,0.18336111532050312,0.05853797807027116
Census Tract 3211.01; Contra Costa County; California,06013321101,1400000US06013321101,321101,0.2372560442761433,0.05910361548817026
Census Tract 3211.02; Contra Costa County; California,06013321102,1400000US06013321102,321102,0.13484428501548998,0.030459097681534875
Census Tract 3211.03; Contra Costa County; California,06013321103,1400000US06013321103,321103,0.10602727672679278,0.02556576203817773
Census Tract 3212; Contra Costa County; California,06013321200,1400000US06013321200,321200,0.12517806267806267,0.045614808262509604
Census Tract 3220; Contra Costa County; California,06013322000,1400000US06013322000,322000,0.153960029607698,0.05133857618801787
Census Tract 3230; Contra Costa County; California,06013323000,1400000US06013323000,323000,0.1771257228528593,0.08918129274932254
Census Tract 3240.02; Contra Costa County; California,06013324002,1400000US06013324002,324002,0.11075949367088607,0.05867261350357274
Census Tract 3240.03; Contra Costa County; California,06013324003,1400000US06013324003,324003,0.09683966367062917,0.059914037395247435
Census Tract 3240.04; Contra Costa County; California,06013324004,1400000US06013324004,324004,0.12722751761292997,0.07932761802189287
Census Tract 3250; Contra Costa County; California,06013325000,1400000US06013325000,325000,0.18552183087161175,0.053372365708629264
Census Tract 3260; Contra Costa County; California,06013326000,1400000US06013326000,326000,0.06485298158834844,0.02510378089338582
Census Tract 3270.01; Contra Costa County; California,06013327001,1400000US06013327001,327001,0.4044265593561368,
Census Tract 3270.02; Contra Costa County; California,06013327002,1400000US06013327002,327002,0.30785285677015395,0.09519503719556491
Census Tract 3280; Contra Costa County; California,06013328000,1400000US06013328000,328000,0.2532244196044712,0.10007174118432102
Census Tract 3290; Contra Costa County; California,06013329000,1400000US06013329000,329000,0.36390258939580766,0.16233011316588755
Census Tract 3300; Contra Costa County; California,06013330000,1400000US06013330000,330000,0.31859674243780206,0.07680882830030211
Census Tract 3310; Contra Costa County; California,06013331000,1400000US06013331000,331000,0.26704326614456286,0.06170598029440301
Census Tract 3320; Contra Costa County; California,06013332000,1400000US06013332000,332000,0.2981871994080651,0.10294441306167039
Census Tract 3331.01; Contra Costa County; California,06013333101,1400000US06013333101,333101,0.20501138952164008,0.059049786678348884
Census Tract 3331.02; Contra Costa County; California,06013333102,1400000US06013333102,333102,0.11761938367442955,0.03168837264388674
Census Tract 3332; Contra Costa County; California,06013333200,1400000US06013333200,333200,0.16177974769860212,0.014060547727848004
Census Tract 3340.01; Contra Costa County; California,06013334001,1400000US06013334001,334001,0.17373737373737375,0.03325776146936783
Census Tract 3340.06; Contra Costa County; California,06013334006,1400000US06013334006,334006,0.1701543014161911,0.05001907211265171
Census Tract 3340.07; Contra Costa County; California,06013334007,1400000US06013334007,334007,0.23027656477438138,0.07367661058236717
Census Tract 3340.08; Contra Costa County; California,06013334008,1400000US06013334008,334008,0.2019509622989718,0.05811077924562031
Census Tract 3342; Contra Costa County; California,06013334200,1400000US06013334200,334200,0.1118325162316152,0.054560789199318664
Census Tract 3350; Contra Costa County; California,06013335000,1400000US06013335000,335000,0.23560354374307863,0.04575069475801615
